;price;propertyType;operation;size;exterior;rooms;bathrooms;municipality;status;newDevelopment;priceByArea;floor;district;neighborhood;hasLift;hasParkingSpace;typology;subTypology
0;750.0;flat;rent;60.0;True;1;1;Madrid;good;False;13.0;3;Hortaleza;Canillas;True;;flat;
1;750.0;flat;rent;70.0;True;2;1;San Sebastián de los Reyes;good;False;11.0;bj;Centro Urbano;;False;;flat;
2;400.0;penthouse;rent;67.0;True;2;2;Villamanrique de Tajo;good;False;6.0;2;;;False;;flat;penthouse
3;590.0;flat;rent;70.0;True;3;2;Rascafría;good;False;8.0;;;;False;;flat;
4;684.0;studio;rent;45.0;True;0;1;Madrid;;;;;;;;;;
5;600.0;flat;rent;73.0;True;2;1;Manzanares el Real;good;False;8.0;3;;;False;;flat;
6;600.0;duplex;rent;71.0;True;1;1;Miraflores de la Sierra;good;False;8.0;1;;;False;;flat;duplex
7;550.0;flat;rent;53.0;True;1;1;Madrid;good;False;10.0;1;Puente de Vallecas;San Diego;False;;flat;
8;700.0;studio;rent;28.0;True;0;1;Madrid;good;False;25.0;1;Ciudad Lineal;San Pascual;False;;flat;studio
9;700.0;duplex;rent;86.0;True;2;1;Galapagar;good;False;8.0;3;Casco Antiguo;;True;;flat;duplex
10;700.0;flat;rent;45.0;False;1;1;Madrid;good;False;16.0;5;Moncloa;Argüelles;False;;flat;
11;550.0;flat;rent;54.0;True;2;1;Arganda;good;False;10.0;en;Centro;;False;;flat;
12;695.0;flat;rent;64.0;True;2;1;San Sebastián de los Reyes;good;False;11.0;1;Centro Urbano;;False;;flat;
13;650.0;flat;rent;68.0;True;2;1;San Lorenzo de el Escorial;good;False;10.0;bj;Centro - Casco Histórico;;False;;flat;
14;700.0;flat;rent;30.0;False;1;1;Madrid;good;False;23.0;1;Retiro;Adelfas;True;;flat;
15;700.0;flat;rent;35.0;False;1;1;Madrid;good;False;20.0;1;Arganzuela;Palos de Moguer;False;;flat;
16;700.0;flat;rent;43.0;True;1;1;Madrid;good;False;16.0;2;Latina;Aluche;True;;flat;
17;650.0;flat;rent;60.0;True;2;1;Madrid;good;False;11.0;1;Puente de Vallecas;San Diego;False;;flat;
18;650.0;chalet;rent;206.0;False;3;1;Aldea del Fresno;good;False;3.0;;;;;;chalet;independantHouse
19;700.0;flat;rent;105.0;True;3;2;Aranjuez;good;False;7.0;bj;Centro;;False;;flat;
20;695.0;flat;rent;40.0;False;1;1;Madrid;good;False;17.0;4;Barrio de Salamanca;Goya;True;;flat;
21;675.0;flat;rent;40.0;True;1;1;Villanueva del Pardillo;good;False;17.0;bj;Centro;;False;True;flat;
22;750.0;studio;rent;45.0;False;0;1;Madrid;good;False;17.0;bj;Centro;Lavapiés-Embajadores;True;;flat;studio
23;750.0;flat;rent;99.0;True;3;2;Aranjuez;good;False;8.0;1;Centro;;True;;flat;
24;680.0;flat;rent;38.0;False;1;1;Madrid;good;False;18.0;1;Retiro;Pacífico;True;;flat;
25;750.0;flat;rent;51.0;True;1;1;Madrid;good;False;15.0;1;Barajas;Timón;True;True;flat;
26;750.0;penthouse;rent;60.0;True;1;1;Las Rozas de Madrid;good;False;13.0;2;Las Matas- Peñascales;Las Matas- Peñascales;False;;flat;penthouse
27;750.0;studio;rent;25.0;False;0;1;Madrid;good;False;30.0;4;Centro;Chueca-Justicia;True;;flat;studio
28;750.0;flat;rent;40.0;False;1;1;Madrid;good;False;19.0;1;Arganzuela;Palos de Moguer;False;;flat;
29;650.0;flat;rent;62.0;True;2;1;Madrid;good;False;10.0;1;Latina;Águilas;False;;flat;
30;750.0;studio;rent;30.0;True;0;1;Madrid;good;False;25.0;3;Centro;Lavapiés-Embajadores;False;;flat;studio
31;750.0;flat;rent;39.0;False;1;1;Madrid;good;False;19.0;5;Chamberí;Trafalgar;False;;flat;
32;700.0;flat;rent;62.0;True;2;1;Madrid;good;False;11.0;3;Villaverde;San Cristóbal;False;;flat;
33;747.0;flat;rent;96.0;True;3;2;Navalcarnero;good;False;8.0;1;La Dehesa - El Pinar;;True;True;flat;
34;640.0;studio;rent;35.0;True;0;1;Madrid;good;False;18.0;1;Villaverde;Butarque;True;True;flat;studio
35;750.0;flat;rent;30.0;False;1;1;Madrid;good;False;25.0;st;Retiro;Ibiza;True;;flat;
36;750.0;flat;rent;70.0;True;2;1;Alcalá de Henares;good;False;11.0;2;Reyes Católicos;;True;True;flat;
37;625.0;flat;rent;52.0;True;2;1;El Escorial;good;False;12.0;2;Centro;;False;;flat;
38;700.0;studio;rent;40.0;True;0;1;Madrid;good;False;18.0;3;Centro;Chueca-Justicia;True;;flat;studio
39;750.0;studio;rent;40.0;True;0;1;Madrid;good;False;19.0;en;Arganzuela;Chopera;True;;flat;studio
40;650.0;flat;rent;35.0;False;1;1;Madrid;good;False;19.0;2;Centro;Palacio;True;;flat;
41;720.0;flat;rent;70.0;True;3;1;Alcalá de Henares;good;False;10.0;2;Chorrillo;;False;;flat;
42;699.0;flat;rent;52.0;True;1;1;Madrid;good;False;13.0;3;Puente de Vallecas;Palomeras sureste;True;;flat;
